policy_id,customer_id,claim_type,region,claim_status,fraudulent_claim,accident_type,policy_type_x,processing_days,claim_amount,name,age,location,policy_type_y,policy_premium,risk_score,claim_to_premium_ratio,is_high_risk,processing_efficiency
POL00023,CUST00023,Home,Central,Under Review,No,Collision,Standard,48,6949,Customer_23,41,Texas,Platinum,689,0.42,10.085631349782293,0,144.77083333333334
POL00024,CUST00024,Life,North,Rejected,No,Fire,Premium,34,2150,Customer_24,46,Illinois,Gold,1299,0.48,1.655119322555812,0,63.23529411764706
POL00025,CUST00025,Auto,South,Under Review,No,Collision,Premium,42,24944,Customer_25,58,New York,Gold,1435,0.37,17.382578397212544,0,593.9047619047619
POL00026,CUST00026,Home,Central,Rejected,No,Burglary,Platinum,6,35699,Customer_26,69,New York,Silver,2432,0.27,14.678865131578947,0,5949.833333333333
POL00027,CUST00027,Home,South,Approved,No,Medical Emergency,Premium,25,10204,Customer_27,65,New York,Silver,750,0.33,13.605333333333334,0,408.16
POL00028,CUST00028,Auto,West,Rejected,No,Other,Premium,37,2081,Customer_28,53,Texas,Gold,2247,0.76,0.9261237205162439,1,56.24324324324324
POL00029,CUST00029,Travel,West,Rejected,No,Fire,Standard,16,30305,Customer_29,28,Texas,Gold,790,0.67,38.360759493670884,0,1894.0625
POL00030,CUST00030,Home,West,Rejected,No,Flood,Gold,26,17896,Customer_30,29,California,Platinum,2168,0.58,8.254612546125461,0,688.3076923076923
POL00031,CUST00031,Travel,North,Approved,No,Flood,Platinum,48,47175,Customer_31,35,California,Silver,1724,0.53,27.36368909512761,0,982.8125
POL00032,CUST00032,Auto,West,Under Review,No,Medical Emergency,Premium,29,8805,Customer_32,45,New York,Platinum,2320,0.85,3.7952586206896552,1,303.62068965517244
POL00033,CUST00033,Travel,Central,Under Review,Yes,Fire,Platinum,53,6237,Customer_33,59,Illinois,Gold,825,0.25,7.56,0,117.67924528301887
POL00034,CUST00034,Health,South,Approved,No,Collision,Standard,31,21056,Customer_34,36,California,Gold,2034,0.4,10.352015732546706,0,679.2258064516129
POL00035,CUST00035,Life,East,Rejected,No,Collision,Premium,46,46543,Customer_35,50,California,Silver,1932,0.44,24.090579710144926,0,1011.804347826087
POL00036,CUST00036,Home,Central,Under Review,No,Burglary,Standard,32,46952,Customer_36,43,Texas,Silver,2130,0.75,22.04319248826291,1,1467.25
POL00037,CUST00037,Life,Central,Approved,No,Burglary,Platinum,20,4343,Customer_37,69,Illinois,Gold,2313,0.89,1.8776480760916558,1,217.15
POL00038,CUST00038,Travel,West,Under Review,No,Collision,Standard,19,14500,Customer_38,31,New York,Gold,2485,0.37,5.835010060362173,0,763.1578947368421
POL00039,CUST00039,Home,North,Approved,No,Flood,Platinum,51,30375,Customer_39,31,California,Silver,2464,0.81,12.327516233766234,1,595.5882352941177
POL00040,CUST00040,Travel,South,Rejected,No,Other,Standard,55,10662,Customer_40,50,Illinois,Gold,1336,0.78,7.980538922155689,1,193.85454545454544
POL00041,CUST00041,Health,North,Under Review,No,Flood,Platinum,48,17964,Customer_41,64,Illinois,Platinum,1007,0.36,17.83912611717974,0,374.25
POL00042,CUST00042,Auto,South,Approved,No,Burglary,Gold,59,48893,Customer_42,29,New York,Platinum,1230,0.48,39.75040650406504,0,828.6949152542373
POL00043,CUST00043,Home,South,Under Review,Yes,Medical Emergency,Standard,56,9130,Customer_43,45,Illinois,Platinum,2124,0.49,4.2984934086629005,0,163.03571428571428
POL00044,CUST00044,Health,North,Under Review,No,Collision,Standard,7,20531,Customer_44,38,Illinois,Silver,571,0.88,35.95621716287216,1,2933.0
POL00045,CUST00045,Health,Central,Under Review,No,Burglary,Gold,41,2679,Customer_45,28,Illinois,Silver,1770,0.33,1.5135593220338983,0,65.34146341463415
POL00046,CUST00046,Home,South,Under Review,No,Burglary,Gold,55,4506,Customer_46,47,California,Gold,1140,0.76,3.9526315789473685,1,81.92727272727272
POL00047,CUST00047,Travel,North,Approved,Yes,Other,Standard,11,14284,Customer_47,66,New York,Gold,2247,0.43,6.35692033822875,0,1298.5454545454545
POL00048,CUST00048,Health,South,Rejected,No,Collision,Gold,25,8253,Customer_48,44,Illinois,Silver,1439,0.71,5.735232800555941,1,330.12
POL00049,CUST00049,Life,East,Approved,No,Other,Premium,13,20128,Customer_49,39,Illinois,Silver,2378,0.49,8.46425567703953,0,1548.3076923076924
POL00050,CUST00050,Health,Central,Approved,Yes,Collision,Platinum,43,28932,Customer_50,69,California,Gold,1107,0.6,26.13550135501355,0,672.8372093023256
POL00051,CUST00051,Travel,West,Approved,Yes,Other,Platinum,22,10435,Customer_51,53,New York,Silver,2110,0.78,4.9454976303317535,1,474.3181818181818
POL00052,CUST00052,Travel,South,Rejected,No,Flood,Platinum,8,45078,Customer_52,32,Texas,Silver,2458,0.76,18.339300244100894,1,5634.75
POL00053,CUST00053,Life,East,Under Review,No,Medical Emergency,Premium,29,14296,Customer_53,65,California,Silver,1065,0.81,13.423474178403756,1,492.9655172413793
POL00054,CUST00054,Health,West,Under Review,No,Medical Emergency,Gold,18,31445,Customer_54,43,New York,Silver,1867,0.24,16.842528119978574,0,1746.9444444444443
POL00055,CUST00055,Travel,West,Under Review,No,Collision,Gold,54,14245,Customer_55,63,Illinois,Gold,2494,0.68,5.711708099438653,0,263.7962962962963
POL00056,CUST00056,Home,South,Rejected,Yes,Fire,Standard,13,30124,Customer_56,52,New York,Gold,2448,0.3,12.305555555555555,0,2317.230769230769
POL00057,CUST00057,Auto,North,Under Review,No,Burglary,Gold,30,30899,Customer_57,51,New York,Gold,553,0.49,55.875226039783,0,1029.9666666666667
POL00058,CUST00058,Auto,South,Rejected,No,Burglary,Standard,57,44919,Customer_58,28,New York,Silver,2253,0.58,19.937416777629828,0,788.0526315789474
POL00059,CUST00059,Auto,East,Under Review,No,Collision,Premium,6,44225,Customer_59,39,Texas,Silver,1027,0.48,43.062317429406036,0,7370.833333333333
POL00060,CUST00060,Health,West,Under Review,No,Other,Platinum,24,36247,Customer_60,59,New York,Gold,1110,0.56,32.65495495495495,0,1510.2916666666667
POL00061,CUST00061,Life,South,Approved,No,Fire,Platinum,32,30222,Customer_61,61,Texas,Gold,2055,0.9,14.706569343065693,1,944.4375
POL00062,CUST00062,Travel,North,Rejected,No,Flood,Platinum,51,27211,Customer_62,25,Illinois,Gold,2081,0.29,13.075925036040365,0,533.5490196078431
POL00063,CUST00063,Home,South,Approved,No,Other,Gold,11,38220,Customer_63,27,Texas,Silver,2486,0.67,15.374094931617055,0,3474.5454545454545
POL00064,CUST00064,Home,Central,Approved,No,Other,Standard,48,27646,Customer_64,48,Illinois,Platinum,692,0.48,39.95086705202312,0,575.9583333333334
POL00065,CUST00065,Health,North,Approved,No,Collision,Standard,12,39649,Customer_65,51,Illinois,Silver,2418,0.29,16.397435897435898,0,3304.0833333333335
POL00066,CUST00066,Auto,East,Rejected,No,Collision,Premium,51,24049,Customer_66,64,Texas,Gold,557,0.31,43.175942549371634,0,471.54901960784315
POL00067,CUST00067,Health,West,Rejected,No,Burglary,Gold,39,15069,Customer_67,60,California,Gold,1960,0.86,7.688265306122449,1,386.38461538461536
POL00068,CUST00068,Life,South,Under Review,No,Collision,Premium,18,33580,Customer_68,58,Florida,Gold,1634,0.82,20.55079559363525,1,1865.5555555555557
POL00069,CUST00069,Life,North,Approved,No,Collision,Standard,21,32843,Customer_69,53,New York,Silver,628,0.83,52.297770700636946,1,1563.952380952381
POL00070,CUST00070,Travel,Central,Under Review,No,Collision,Standard,40,3849,Customer_70,48,Florida,Gold,2372,0.89,1.622681281618887,1,96.225
POL00071,CUST00071,Travel,North,Approved,No,Burglary,Platinum,54,41158,Customer_71,48,New York,Gold,1205,0.35,34.15601659751037,0,762.1851851851852
POL00072,CUST00072,Life,Central,Rejected,No,Flood,Gold,44,24289,Customer_72,66,New York,Silver,2448,0.45,9.921977124183007,0,552.0227272727273
POL00073,CUST00073,Life,East,Rejected,No,Flood,Standard,8,45690,Customer_73,28,Illinois,Silver,1351,0.67,33.81939304219097,0,5711.25
POL00074,CUST00074,Life,West,Rejected,No,Collision,Platinum,6,36257,Customer_74,27,New York,Silver,1849,0.54,19.608977825851813,0,6042.833333333333
POL00075,CUST00075,Health,East,Approved,No,Burglary,Gold,10,10823,Customer_75,58,New York,Platinum,507,0.49,21.347140039447734,0,1082.3
POL00076,CUST00076,Life,South,Rejected,No,Flood,Premium,58,42975,Customer_76,47,Texas,Silver,528,0.45,81.39204545454545,0,740.948275862069
POL00077,CUST00077,Home,North,Approved,Yes,Other,Gold,46,10540,Customer_77,47,Florida,Platinum,1635,0.62,6.446483180428134,0,229.1304347826087
POL00078,CUST00078,Auto,Central,Under Review,No,Flood,Gold,8,17364,Customer_78,69,Texas,Gold,1446,0.6,12.008298755186722,0,2170.5
POL00079,CUST00079,Life,Central,Approved,No,Flood,Standard,58,5611,Customer_79,29,New York,Platinum,2196,0.31,2.5551001821493626,0,96.74137931034483
POL00080,CUST00080,Auto,North,Under Review,No,Burglary,Standard,33,28663,Customer_80,55,Illinois,Platinum,630,0.53,45.49682539682539,0,868.5757575757576
POL00081,CUST00081,Health,North,Approved,No,Other,Gold,22,39646,Customer_81,65,Texas,Gold,687,0.59,57.708879184861715,0,1802.090909090909
POL00082,CUST00082,Auto,South,Under Review,No,Burglary,Standard,30,31977,Customer_82,30,Texas,Silver,2198,0.6,14.548225659690628,0,1065.9
POL00083,CUST00083,Health,East,Rejected,No,Collision,Standard,48,30168,Customer_83,61,California,Silver,1208,0.35,24.973509933774835,0,628.5
POL00084,CUST00084,Home,Central,Under Review,No,Medical Emergency,Standard,38,26471,Customer_84,34,New York,Silver,1998,0.72,13.24874874874875,1,696.6052631578947
POL00085,CUST00085,Health,South,Rejected,No,Flood,Platinum,14,23687,Customer_85,64,Illinois,Gold,1887,0.22,12.552729199788024,0,1691.9285714285713
POL00086,CUST00086,Health,East,Rejected,No,Medical Emergency,Platinum,40,1851,Customer_86,31,Texas,Silver,1727,0.45,1.0718008106543138,0,46.275
POL00087,CUST00087,Travel,South,Under Review,Yes,Burglary,Gold,18,19071,Customer_87,63,Texas,Silver,711,0.75,26.82278481012658,1,1059.5
POL00088,CUST00088,Life,Central,Approved,No,Burglary,Standard,35,7833,Customer_88,62,Illinois,Gold,2144,0.59,3.6534514925373136,0,223.8
POL00089,CUST00089,Life,North,Approved,Yes,Burglary,Platinum,52,12938,Customer_89,45,New York,Platinum,775,0.38,16.694193548387098,0,248.80769230769232
POL00090,CUST00090,Home,North,Approved,No,Medical Emergency,Gold,19,36195,Customer_90,44,California,Silver,1596,0.69,22.678571428571427,0,1905.0
POL00091,CUST00091,Home,East,Approved,No,Burglary,Standard,12,27144,Customer_91,27,Texas,Silver,2202,0.6,12.326975476839237,0,2262.0
POL00092,CUST00092,Life,West,Approved,Yes,Collision,Premium,18,5000,Customer_92,46,California,Silver,2295,0.76,2.178649237472767,1,277.77777777777777
POL00093,CUST00093,Travel,East,Rejected,No,Burglary,Standard,27,6052,Customer_93,28,Florida,Platinum,742,0.71,8.15633423180593,1,224.14814814814815
POL00094,CUST00094,Life,West,Approved,No,Fire,Standard,44,36506,Customer_94,52,New York,Gold,2310,0.63,15.803463203463204,0,829.6818181818181
POL00095,CUST00095,Travel,South,Rejected,No,Medical Emergency,Platinum,25,29074,Customer_95,36,Florida,Silver,1625,0.54,17.891692307692306,0,1162.96
POL00096,CUST00096,Home,South,Rejected,No,Fire,Gold,20,39155,Customer_96,62,Florida,Silver,1486,0.29,26.349259757738896,0,1957.75
POL00097,CUST00097,Auto,Central,Rejected,No,Burglary,Gold,49,41770,Customer_97,60,Florida,Silver,1184,0.38,35.27871621621622,0,852.4489795918367
POL00098,CUST00098,Home,West,Under Review,No,Collision,Platinum,22,33320,Customer_98,65,New York,Silver,670,0.49,49.73134328358209,0,1514.5454545454545
POL00099,CUST00099,Home,Central,Under Review,No,Flood,Standard,51,39304,Customer_99,29,New York,Platinum,1152,0.62,34.11805555555556,0,770.6666666666666
POL00100,CUST00100,Health,North,Rejected,No,Other,Premium,57,47247,Customer_100,37,Illinois,Gold,2432,0.56,19.427220394736842,0,828.8947368421053
POL00101,CUST00101,Health,West,Under Review,No,Other,Standard,28,4913,Customer_101,47,California,Gold,687,0.4,7.151382823871907,0,175.46428571428572
POL00102,CUST00102,Health,East,Approved,No,Burglary,Standard,30,18450,Customer_102,54,California,Platinum,1964,0.2,9.39409368635438,0,615.0
POL00103,CUST00103,Health,North,Approved,No,Collision,Premium,29,25107,Customer_103,61,Illinois,Silver,1609,0.55,15.604101926662523,0,865.7586206896551
POL00104,CUST00104,Travel,North,Rejected,No,Medical Emergency,Platinum,49,21764,Customer_104,49,Illinois,Gold,1999,0.4,10.887443721860931,0,444.16326530612247
POL00105,CUST00105,Life,East,Approved,No,Fire,Gold,45,44404,Customer_105,51,Florida,Platinum,551,0.71,80.58802177858439,1,986.7555555555556
POL00106,CUST00106,Auto,North,Rejected,No,Fire,Platinum,33,21491,Customer_106,38,Illinois,Silver,610,0.22,35.231147540983606,0,651.2424242424242
POL00107,CUST00107,Home,West,Rejected,Yes,Fire,Platinum,19,39494,Customer_107,60,Texas,Gold,2472,0.61,15.97653721682848,0,2078.6315789473683
POL00108,CUST00108,Travel,Central,Approved,No,Medical Emergency,Standard,49,4373,Customer_108,63,California,Silver,1376,0.86,3.1780523255813953,1,89.24489795918367
POL00109,CUST00109,Auto,North,Under Review,No,Other,Gold,5,13161,Customer_109,40,Illinois,Silver,2377,0.32,5.5368111064366845,0,2632.2
POL00110,CUST00110,Travel,West,Approved,No,Collision,Gold,29,32996,Customer_110,46,Texas,Silver,1566,0.53,21.070242656449555,0,1137.7931034482758
POL00111,CUST00111,Travel,South,Approved,No,Medical Emergency,Platinum,11,28122,Customer_111,45,Texas,Gold,710,0.26,39.608450704225355,0,2556.5454545454545
POL00112,CUST00112,Home,West,Rejected,No,Fire,Premium,13,35850,Customer_112,45,Texas,Gold,2491,0.64,14.391810517864311,0,2757.6923076923076
POL00113,CUST00113,Life,Central,Rejected,No,Burglary,Platinum,28,28350,Customer_113,32,Texas,Platinum,1723,0.59,16.453859547301217,0,1012.5
POL00114,CUST00114,Health,West,Rejected,No,Flood,Premium,5,28472,Customer_114,40,Florida,Gold,2333,0.49,12.204029147021004,0,5694.4
POL00115,CUST00115,Life,East,Rejected,No,Medical Emergency,Gold,48,29761,Customer_115,55,Texas,Platinum,1357,0.56,21.931466470154753,0,620.0208333333334
POL00116,CUST00116,Home,Central,Under Review,No,Medical Emergency,Platinum,12,26351,Customer_116,66,Florida,Platinum,2275,0.83,11.582857142857144,1,2195.9166666666665
POL00117,CUST00117,Home,South,Under Review,Yes,Collision,Standard,28,24132,Customer_117,34,Florida,Silver,1126,0.34,21.431616341030196,0,861.8571428571429
POL00118,CUST00118,Home,East,Under Review,No,Collision,Platinum,15,16305,Customer_118,56,Texas,Gold,1549,0.22,10.52614590058102,0,1087.0
POL00119,CUST00119,Auto,West,Rejected,No,Medical Emergency,Gold,55,10817,Customer_119,58,California,Silver,2442,0.8,4.429565929565929,1,196.6727272727273
POL00120,CUST00120,Life,Central,Rejected,Yes,Fire,Standard,21,12261,Customer_120,33,Texas,Gold,798,0.6,15.364661654135338,0,583.8571428571429
POL00121,CUST00121,Life,South,Rejected,No,Flood,Standard,12,1417,Customer_121,41,Texas,Platinum,1600,0.82,0.885625,1,118.08333333333333
POL00122,CUST00122,Travel,East,Under Review,No,Collision,Premium,39,42576,Customer_122,35,Texas,Silver,1423,0.62,29.91988756148981,0,1091.6923076923076
POL00123,CUST00123,Travel,South,Rejected,Yes,Fire,Standard,39,21358,Customer_123,56,California,Gold,636,0.77,33.581761006289305,1,547.6410256410256
POL00124,CUST00124,Travel,West,Approved,No,Burglary,Standard,37,4267,Customer_124,34,New York,Gold,1543,0.5,2.7653920933246923,0,115.32432432432432
POL00125,CUST00125,Home,South,Approved,No,Collision,Platinum,9,18209,Customer_125,46,New York,Gold,939,0.72,19.391906283280086,1,2023.2222222222222
POL00126,CUST00126,Life,North,Rejected,No,Fire,Gold,46,25052,Customer_126,41,Florida,Silver,710,0.84,35.28450704225352,1,544.6086956521739
POL00127,CUST00127,Home,East,Approved,No,Fire,Premium,43,39513,Customer_127,28,Florida,Silver,1251,0.6,31.585131894484412,0,918.9069767441861
POL00128,CUST00128,Auto,South,Approved,No,Flood,Platinum,45,27092,Customer_128,49,California,Silver,2074,0.33,13.06268081002893,0,602.0444444444445
POL00129,CUST00129,Travel,West,Under Review,No,Flood,Standard,32,12338,Customer_129,45,Illinois,Silver,934,0.39,13.209850107066382,0,385.5625
POL00130,CUST00130,Home,West,Rejected,Yes,Burglary,Standard,11,1412,Customer_130,61,New York,Silver,1279,0.34,1.1039874902267397,0,128.36363636363637
POL00131,CUST00131,Home,South,Rejected,No,Fire,Premium,13,8543,Customer_131,62,Florida,Gold,1730,0.37,4.938150289017341,0,657.1538461538462
POL00132,CUST00132,Auto,West,Under Review,No,Other,Gold,12,41355,Customer_132,25,New York,Silver,938,0.41,44.088486140724946,0,3446.25
POL00133,CUST00133,Health,Central,Approved,No,Fire,Premium,16,34496,Customer_133,49,California,Platinum,2497,0.59,13.814977973568283,0,2156.0
POL00134,CUST00134,Life,Central,Approved,No,Flood,Platinum,38,24548,Customer_134,60,California,Gold,2302,0.61,10.663770634231103,0,646.0
POL00135,CUST00135,Health,Central,Rejected,No,Other,Premium,37,28384,Customer_135,41,Illinois,Gold,1165,0.5,24.36394849785408,0,767.1351351351351
POL00136,CUST00136,Travel,North,Approved,No,Collision,Standard,52,45425,Customer_136,65,Illinois,Gold,1565,0.63,29.02555910543131,0,873.5576923076923
POL00137,CUST00137,Home,South,Under Review,No,Collision,Platinum,59,39756,Customer_137,48,California,Gold,910,0.26,43.68791208791209,0,673.8305084745763
POL00138,CUST00138,Auto,North,Under Review,No,Medical Emergency,Standard,27,19888,Customer_138,26,Florida,Platinum,2046,0.26,9.720430107526882,0,736.5925925925926
POL00139,CUST00139,Auto,West,Rejected,Yes,Flood,Gold,28,36735,Customer_139,64,New York,Silver,1305,0.32,28.149425287356323,0,1311.9642857142858
POL00140,CUST00140,Life,North,Under Review,No,Medical Emergency,Standard,41,48295,Customer_140,39,Texas,Silver,1109,0.56,43.54824165915239,0,1177.9268292682927
POL00141,CUST00141,Health,West,Under Review,No,Other,Standard,39,49816,Customer_141,56,Illinois,Gold,926,0.35,53.79697624190065,0,1277.3333333333333
POL00142,CUST00142,Life,West,Rejected,No,Flood,Premium,48,18506,Customer_142,63,Texas,Silver,1798,0.4,10.292547274749722,0,385.5416666666667
POL00143,CUST00143,Home,East,Under Review,No,Burglary,Standard,44,21463,Customer_143,30,Florida,Silver,1971,0.48,10.88939624556063,0,487.79545454545456
POL00144,CUST00144,Life,Central,Under Review,No,Fire,Platinum,26,18955,Customer_144,25,Illinois,Silver,1401,0.77,13.529621698786581,1,729.0384615384615
POL00145,CUST00145,Auto,West,Under Review,No,Burglary,Platinum,31,38841,Customer_145,47,Texas,Silver,1441,0.21,26.954198473282442,0,1252.9354838709678
POL00146,CUST00146,Auto,East,Approved,No,Other,Gold,39,6104,Customer_146,63,Florida,Gold,2407,0.65,2.5359368508516824,0,156.51282051282053
POL00147,CUST00147,Travel,Central,Rejected,No,Flood,Platinum,5,35911,Customer_147,41,New York,Silver,1241,0.67,28.937147461724415,0,7182.2
POL00148,CUST00148,Travel,West,Rejected,No,Other,Premium,39,24190,Customer_148,58,Florida,Platinum,1892,0.76,12.785412262156449,1,620.2564102564103
POL00149,CUST00149,Home,West,Rejected,No,Fire,Gold,41,8357,Customer_149,65,Illinois,Gold,2461,0.85,3.395774075579033,1,203.82926829268294
POL00150,CUST00150,Health,North,Approved,No,Collision,Platinum,51,33479,Customer_150,53,California,Gold,1743,0.21,19.207687894434883,0,656.4509803921569
POL00151,CUST00151,Life,North,Approved,No,Collision,Premium,18,45811,Customer_151,33,New York,Gold,2100,0.31,21.814761904761905,0,2545.0555555555557
POL00152,CUST00152,Home,Central,Rejected,No,Other,Platinum,7,37208,Customer_152,37,Texas,Platinum,2390,0.82,15.568200836820084,1,5315.428571428572
POL00153,CUST00153,Travel,West,Approved,No,Medical Emergency,Platinum,5,21150,Customer_153,30,Illinois,Silver,1755,0.52,12.051282051282051,0,4230.0
POL00154,CUST00154,Life,South,Rejected,No,Flood,Standard,9,6644,Customer_154,30,California,Platinum,827,0.6,8.03385731559855,0,738.2222222222222
POL00155,CUST00155,Travel,North,Approved,No,Flood,Platinum,30,44286,Customer_155,44,Florida,Gold,1966,0.66,22.52594099694812,0,1476.2
POL00156,CUST00156,Life,Central,Under Review,No,Collision,Platinum,59,48320,Customer_156,27,California,Gold,551,0.68,87.69509981851179,0,818.9830508474577
POL00157,CUST00157,Health,West,Under Review,Yes,Burglary,Premium,18,3914,Customer_157,41,Illinois,Gold,2409,0.85,1.6247405562474055,1,217.44444444444446
POL00158,CUST00158,Home,West,Rejected,No,Fire,Premium,43,22352,Customer_158,36,Illinois,Silver,2466,0.9,9.064071370640713,1,519.8139534883721
POL00159,CUST00159,Life,South,Approved,No,Burglary,Standard,31,47352,Customer_159,69,California,Gold,875,0.7,54.116571428571426,0,1527.483870967742
POL00160,CUST00160,Auto,Central,Approved,No,Burglary,Platinum,13,45912,Customer_160,25,Florida,Gold,762,0.4,60.25196850393701,0,3531.6923076923076
POL00161,CUST00161,Auto,West,Under Review,Yes,Other,Standard,19,15397,Customer_161,41,California,Silver,766,0.82,20.10052219321149,1,810.3684210526316
POL00162,CUST00162,Life,North,Under Review,No,Collision,Platinum,19,42555,Customer_162,27,Illinois,Gold,858,0.23,49.5979020979021,0,2239.7368421052633
POL00163,CUST00163,Life,South,Approved,No,Collision,Gold,30,47959,Customer_163,50,Illinois,Silver,1840,0.36,26.064673913043478,0,1598.6333333333334
POL00164,CUST00164,Life,Central,Approved,No,Collision,Gold,46,1728,Customer_164,39,Texas,Silver,1847,0.83,0.9355711965349215,1,37.56521739130435
POL00165,CUST00165,Auto,South,Approved,No,Other,Standard,17,1698,Customer_165,60,Texas,Silver,2444,0.38,0.6947626841243862,0,99.88235294117646
POL00166,CUST00166,Auto,North,Approved,No,Medical Emergency,Standard,55,40954,Customer_166,56,New York,Silver,2431,0.35,16.846565199506376,0,744.6181818181818
POL00167,CUST00167,Life,Central,Approved,Yes,Burglary,Standard,36,48280,Customer_167,56,Illinois,Gold,2189,0.3,22.055733211512106,0,1341.111111111111
POL00168,CUST00168,Travel,South,Approved,Yes,Other,Premium,43,14923,Customer_168,28,Texas,Silver,2393,0.8,6.236105307145842,1,347.04651162790697
POL00169,CUST00169,Travel,East,Rejected,No,Flood,Premium,53,17779,Customer_169,42,California,Platinum,2401,0.55,7.404831320283216,0,335.45283018867923
POL00170,CUST00170,Health,North,Approved,No,Fire,Premium,56,8400,Customer_170,43,Florida,Gold,1151,0.67,7.298001737619462,0,150.0
POL00171,CUST00171,Home,North,Under Review,Yes,Medical Emergency,Standard,36,25466,Customer_171,67,California,Silver,2462,0.37,10.343623070674248,0,707.3888888888889
POL00172,CUST00172,Travel,North,Rejected,No,Flood,Platinum,8,37939,Customer_172,59,Florida,Gold,2086,0.73,18.187440076701822,1,4742.375
POL00173,CUST00173,Auto,East,Approved,No,Burglary,Gold,34,5360,Customer_173,64,Texas,Platinum,2152,0.73,2.490706319702602,1,157.64705882352942
POL00174,CUST00174,Travel,East,Under Review,No,Collision,Standard,41,36270,Customer_174,38,New York,Gold,1944,0.42,18.65740740740741,0,884.6341463414634
POL00175,CUST00175,Health,West,Rejected,No,Burglary,Premium,27,18101,Customer_175,57,California,Silver,545,0.49,33.21284403669725,0,670.4074074074074
POL00176,CUST00176,Health,South,Under Review,No,Other,Premium,43,33307,Customer_176,38,California,Platinum,2344,0.35,14.209470989761092,0,774.5813953488372
POL00177,CUST00177,Home,West,Approved,No,Fire,Standard,49,6486,Customer_177,58,California,Gold,1099,0.88,5.901728844404004,1,132.3673469387755
POL00178,CUST00178,Travel,South,Approved,Yes,Other,Standard,19,9335,Customer_178,28,Florida,Silver,1219,0.65,7.65791632485644,0,491.3157894736842
