policy_id,customer_id,claim_type,region,claim_status,fraudulent_claim,accident_type,policy_type_x,processing_days,claim_amount,name,age,location,policy_type_y,policy_premium,risk_score,claim_to_premium_ratio,is_high_risk,processing_efficiency,claim_id
POL00038,CUST00038,Travel,West,Under Review,No,Collision,Standard,19,14500,Customer_38,31,New York,Gold,2485,0.37,5.83501006,0,763.1578947,CL138
POL00039,CUST00039,Home,North,Approved,No,Flood,Platinum,51,30375,Customer_39,31,California,Silver,2464,0.81,12.32751623,1,595.5882353,CL139
POL00040,CUST00040,Travel,South,Rejected,No,Other,Standard,55,10662,Customer_40,50,Illinois,Gold,1336,0.78,7.980538922,1,193.8545455,CL140
POL00041,CUST00041,Health,North,Under Review,No,Flood,Platinum,48,17964,Customer_41,64,Illinois,Platinum,1007,0.36,17.83912612,0,374.25,CL141
POL00042,CUST00042,Auto,South,Approved,No,Burglary,Gold,59,48893,Customer_42,29,New York,Platinum,1230,0.48,39.7504065,0,828.6949153,CL142
POL00043,CUST00043,Home,South,Under Review,Yes,Medical Emergency,Standard,56,9130,Customer_43,45,Illinois,Platinum,2124,0.49,4.298493409,0,163.0357143,CL143
POL00044,CUST00044,Health,North,Under Review,No,Collision,Standard,7,20531,Customer_44,38,Illinois,Silver,571,0.88,35.95621716,1,2933,CL144
POL00045,CUST00045,Health,Central,Under Review,No,Burglary,Gold,41,2679,Customer_45,28,Illinois,Silver,1770,0.33,1.513559322,0,65.34146341,CL145
POL00046,CUST00046,Home,South,Under Review,No,Burglary,Gold,55,4506,Customer_46,47,California,Gold,1140,0.76,3.952631579,1,81.92727273,CL146
POL00047,CUST00047,Travel,North,Approved,Yes,Other,Standard,11,14284,Customer_47,66,New York,Gold,2247,0.43,6.356920338,0,1298.545455,CL147
POL00048,CUST00048,Health,South,Rejected,No,Collision,Gold,25,8253,Customer_48,44,Illinois,Silver,1439,0.71,5.735232801,1,330.12,CL148
POL00049,CUST00049,Life,East,Approved,No,Other,Premium,13,20128,Customer_49,39,Illinois,Silver,2378,0.49,8.464255677,0,1548.307692,CL149
POL00050,CUST00050,Health,Central,Approved,Yes,Collision,Platinum,43,28932,Customer_50,69,California,Gold,1107,0.6,26.13550136,0,672.8372093,CL150
POL00051,CUST00051,Travel,West,Approved,Yes,Other,Platinum,22,10435,Customer_51,53,New York,Silver,2110,0.78,4.94549763,1,474.3181818,CL151
POL00052,CUST00052,Travel,South,Rejected,No,Flood,Platinum,8,45078,Customer_52,32,Texas,Silver,2458,0.76,18.33930024,1,5634.75,CL152
POL00053,CUST00053,Life,East,Under Review,No,Medical Emergency,Premium,29,14296,Customer_53,65,California,Silver,1065,0.81,13.42347418,1,492.9655172,CL153
POL00054,CUST00054,Health,West,Under Review,No,Medical Emergency,Gold,18,31445,Customer_54,43,New York,Silver,1867,0.24,16.84252812,0,1746.944444,CL154
POL00055,CUST00055,Travel,West,Under Review,No,Collision,Gold,54,14245,Customer_55,63,Illinois,Gold,2494,0.68,5.711708099,0,263.7962963,CL155
POL00056,CUST00056,Home,South,Rejected,Yes,Fire,Standard,13,30124,Customer_56,52,New York,Gold,2448,0.3,12.30555556,0,2317.230769,CL156
POL00057,CUST00057,Auto,North,Under Review,No,Burglary,Gold,30,30899,Customer_57,51,New York,Gold,553,0.49,55.87522604,0,1029.966667,CL157
POL00058,CUST00058,Auto,South,Rejected,No,Burglary,Standard,57,44919,Customer_58,28,New York,Silver,2253,0.58,19.93741678,0,788.0526316,CL158
POL00059,CUST00059,Auto,East,Under Review,No,Collision,Premium,6,44225,Customer_59,39,Texas,Silver,1027,0.48,43.06231743,0,7370.833333,CL159
POL00060,CUST00060,Health,West,Under Review,No,Other,Platinum,24,36247,Customer_60,59,New York,Gold,1110,0.56,32.65495495,0,1510.291667,CL160
POL00061,CUST00061,Life,South,Approved,No,Fire,Platinum,32,30222,Customer_61,61,Texas,Gold,2055,0.9,14.70656934,1,944.4375,CL161
POL00062,CUST00062,Travel,North,Rejected,No,Flood,Platinum,51,27211,Customer_62,25,Illinois,Gold,2081,0.29,13.07592504,0,533.5490196,CL162
POL00063,CUST00063,Home,South,Approved,No,Other,Gold,11,38220,Customer_63,27,Texas,Silver,2486,0.67,15.37409493,0,3474.545455,CL163
POL00064,CUST00064,Home,Central,Approved,No,Other,Standard,48,27646,Customer_64,48,Illinois,Platinum,692,0.48,39.95086705,0,575.9583333,CL164
POL00065,CUST00065,Health,North,Approved,No,Collision,Standard,12,39649,Customer_65,51,Illinois,Silver,2418,0.29,16.3974359,0,3304.083333,CL165
POL00066,CUST00066,Auto,East,Rejected,No,Collision,Premium,51,24049,Customer_66,64,Texas,Gold,557,0.31,43.17594255,0,471.5490196,CL166
POL00067,CUST00067,Health,West,Rejected,No,Burglary,Gold,39,15069,Customer_67,60,California,Gold,1960,0.86,7.688265306,1,386.3846154,CL167
POL00068,CUST00068,Life,South,Under Review,No,Collision,Premium,18,33580,Customer_68,58,Florida,Gold,1634,0.82,20.55079559,1,1865.555556,CL168
POL00069,CUST00069,Life,North,Approved,No,Collision,Standard,21,32843,Customer_69,53,New York,Silver,628,0.83,52.2977707,1,1563.952381,CL169
POL00070,CUST00070,Travel,Central,Under Review,No,Collision,Standard,40,3849,Customer_70,48,Florida,Gold,2372,0.89,1.622681282,1,96.225,CL170
POL00071,CUST00071,Travel,North,Approved,No,Burglary,Platinum,54,41158,Customer_71,48,New York,Gold,1205,0.35,34.1560166,0,762.1851852,CL171
POL00072,CUST00072,Life,Central,Rejected,No,Flood,Gold,44,24289,Customer_72,66,New York,Silver,2448,0.45,9.921977124,0,552.0227273,CL172
POL00073,CUST00073,Life,East,Rejected,No,Flood,Standard,8,45690,Customer_73,28,Illinois,Silver,1351,0.67,33.81939304,0,5711.25,CL173
POL00074,CUST00074,Life,West,Rejected,No,Collision,Platinum,6,36257,Customer_74,27,New York,Silver,1849,0.54,19.60897783,0,6042.833333,CL174
POL00075,CUST00075,Health,East,Approved,No,Burglary,Gold,10,10823,Customer_75,58,New York,Platinum,507,0.49,21.34714004,0,1082.3,CL175
POL00076,CUST00076,Life,South,Rejected,No,Flood,Premium,58,42975,Customer_76,47,Texas,Silver,528,0.45,81.39204545,0,740.9482759,CL176
POL00077,CUST00077,Home,North,Approved,Yes,Other,Gold,46,10540,Customer_77,47,Florida,Platinum,1635,0.62,6.44648318,0,229.1304348,CL177
POL00078,CUST00078,Auto,Central,Under Review,No,Flood,Gold,8,17364,Customer_78,69,Texas,Gold,1446,0.6,12.00829876,0,2170.5,CL178
POL00079,CUST00079,Life,Central,Approved,No,Flood,Standard,58,5611,Customer_79,29,New York,Platinum,2196,0.31,2.555100182,0,96.74137931,CL179
POL00080,CUST00080,Auto,North,Under Review,No,Burglary,Standard,33,28663,Customer_80,55,Illinois,Platinum,630,0.53,45.4968254,0,868.5757576,CL180
POL00081,CUST00081,Health,North,Approved,No,Other,Gold,22,39646,Customer_81,65,Texas,Gold,687,0.59,57.70887918,0,1802.090909,CL181
POL00082,CUST00082,Auto,South,Under Review,No,Burglary,Standard,30,31977,Customer_82,30,Texas,Silver,2198,0.6,14.54822566,0,1065.9,CL182
POL00083,CUST00083,Health,East,Rejected,No,Collision,Standard,48,30168,Customer_83,61,California,Silver,1208,0.35,24.97350993,0,628.5,CL183
POL00084,CUST00084,Home,Central,Under Review,No,Medical Emergency,Standard,38,26471,Customer_84,34,New York,Silver,1998,0.72,13.24874875,1,696.6052632,CL184
POL00085,CUST00085,Health,South,Rejected,No,Flood,Platinum,14,23687,Customer_85,64,Illinois,Gold,1887,0.22,12.5527292,0,1691.928571,CL185
POL00086,CUST00086,Health,East,Rejected,No,Medical Emergency,Platinum,40,1851,Customer_86,31,Texas,Silver,1727,0.45,1.071800811,0,46.275,CL186
POL00087,CUST00087,Travel,South,Under Review,Yes,Burglary,Gold,18,19071,Customer_87,63,Texas,Silver,711,0.75,26.82278481,1,1059.5,CL187
POL00088,CUST00088,Life,Central,Approved,No,Burglary,Standard,35,7833,Customer_88,62,Illinois,Gold,2144,0.59,3.653451493,0,223.8,CL188
POL00089,CUST00089,Life,North,Approved,Yes,Burglary,Platinum,52,12938,Customer_89,45,New York,Platinum,775,0.38,16.69419355,0,248.8076923,CL189
POL00090,CUST00090,Home,North,Approved,No,Medical Emergency,Gold,19,36195,Customer_90,44,California,Silver,1596,0.69,22.67857143,0,1905,CL190
POL00091,CUST00091,Home,East,Approved,No,Burglary,Standard,12,27144,Customer_91,27,Texas,Silver,2202,0.6,12.32697548,0,2262,CL191
POL00092,CUST00092,Life,West,Approved,Yes,Collision,Premium,18,5000,Customer_92,46,California,Silver,2295,0.76,2.178649237,1,277.7777778,CL192
POL00093,CUST00093,Travel,East,Rejected,No,Burglary,Standard,27,6052,Customer_93,28,Florida,Platinum,742,0.71,8.156334232,1,224.1481481,CL193
POL00094,CUST00094,Life,West,Approved,No,Fire,Standard,44,36506,Customer_94,52,New York,Gold,2310,0.63,15.8034632,0,829.6818182,CL194
POL00095,CUST00095,Travel,South,Rejected,No,Medical Emergency,Platinum,25,29074,Customer_95,36,Florida,Silver,1625,0.54,17.89169231,0,1162.96,CL195
POL00096,CUST00096,Home,South,Rejected,No,Fire,Gold,20,39155,Customer_96,62,Florida,Silver,1486,0.29,26.34925976,0,1957.75,CL196
POL00097,CUST00097,Auto,Central,Rejected,No,Burglary,Gold,49,41770,Customer_97,60,Florida,Silver,1184,0.38,35.27871622,0,852.4489796,CL197
POL00098,CUST00098,Home,West,Under Review,No,Collision,Platinum,22,33320,Customer_98,65,New York,Silver,670,0.49,49.73134328,0,1514.545455,CL198
POL00099,CUST00099,Home,Central,Under Review,No,Flood,Standard,51,39304,Customer_99,29,New York,Platinum,1152,0.62,34.11805556,0,770.6666667,CL199
POL00100,CUST00100,Health,North,Rejected,No,Other,Premium,57,47247,Customer_100,37,Illinois,Gold,2432,0.56,19.42722039,0,828.8947368,CL200
POL00101,CUST00101,Health,West,Under Review,No,Other,Standard,28,4913,Customer_101,47,California,Gold,687,0.4,7.151382824,0,175.4642857,CL201
POL00102,CUST00102,Health,East,Approved,No,Burglary,Standard,30,18450,Customer_102,54,California,Platinum,1964,0.2,9.394093686,0,615,CL202
POL00103,CUST00103,Health,North,Approved,No,Collision,Premium,29,25107,Customer_103,61,Illinois,Silver,1609,0.55,15.60410193,0,865.7586207,CL203
POL00104,CUST00104,Travel,North,Rejected,No,Medical Emergency,Platinum,49,21764,Customer_104,49,Illinois,Gold,1999,0.4,10.88744372,0,444.1632653,CL204
POL00105,CUST00105,Life,East,Approved,No,Fire,Gold,45,44404,Customer_105,51,Florida,Platinum,551,0.71,80.58802178,1,986.7555556,CL205
POL00106,CUST00106,Auto,North,Rejected,No,Fire,Platinum,33,21491,Customer_106,38,Illinois,Silver,610,0.22,35.23114754,0,651.2424242,CL206
POL00107,CUST00107,Home,West,Rejected,Yes,Fire,Platinum,19,39494,Customer_107,60,Texas,Gold,2472,0.61,15.97653722,0,2078.631579,CL207
POL00108,CUST00108,Travel,Central,Approved,No,Medical Emergency,Standard,49,4373,Customer_108,63,California,Silver,1376,0.86,3.178052326,1,89.24489796,CL208
POL00109,CUST00109,Auto,North,Under Review,No,Other,Gold,5,13161,Customer_109,40,Illinois,Silver,2377,0.32,5.536811106,0,2632.2,CL209
POL00110,CUST00110,Travel,West,Approved,No,Collision,Gold,29,32996,Customer_110,46,Texas,Silver,1566,0.53,21.07024266,0,1137.793103,CL210
POL00111,CUST00111,Travel,South,Approved,No,Medical Emergency,Platinum,11,28122,Customer_111,45,Texas,Gold,710,0.26,39.6084507,0,2556.545455,CL211
POL00112,CUST00112,Home,West,Rejected,No,Fire,Premium,13,35850,Customer_112,45,Texas,Gold,2491,0.64,14.39181052,0,2757.692308,CL212
POL00113,CUST00113,Life,Central,Rejected,No,Burglary,Platinum,28,28350,Customer_113,32,Texas,Platinum,1723,0.59,16.45385955,0,1012.5,CL213
POL00114,CUST00114,Health,West,Rejected,No,Flood,Premium,5,28472,Customer_114,40,Florida,Gold,2333,0.49,12.20402915,0,5694.4,CL214
POL00115,CUST00115,Life,East,Rejected,No,Medical Emergency,Gold,48,29761,Customer_115,55,Texas,Platinum,1357,0.56,21.93146647,0,620.0208333,CL215
POL00116,CUST00116,Home,Central,Under Review,No,Medical Emergency,Platinum,12,26351,Customer_116,66,Florida,Platinum,2275,0.83,11.58285714,1,2195.916667,CL216
POL00117,CUST00117,Home,South,Under Review,Yes,Collision,Standard,28,24132,Customer_117,34,Florida,Silver,1126,0.34,21.43161634,0,861.8571429,CL217
POL00118,CUST00118,Home,East,Under Review,No,Collision,Platinum,15,16305,Customer_118,56,Texas,Gold,1549,0.22,10.5261459,0,1087,CL218
POL00119,CUST00119,Auto,West,Rejected,No,Medical Emergency,Gold,55,10817,Customer_119,58,California,Silver,2442,0.8,4.42956593,1,196.6727273,CL219
POL00120,CUST00120,Life,Central,Rejected,Yes,Fire,Standard,21,12261,Customer_120,33,Texas,Gold,798,0.6,15.36466165,0,583.8571429,CL220
POL00121,CUST00121,Life,South,Rejected,No,Flood,Standard,12,1417,Customer_121,41,Texas,Platinum,1600,0.82,0.885625,1,118.0833333,CL221
POL00122,CUST00122,Travel,East,Under Review,No,Collision,Premium,39,42576,Customer_122,35,Texas,Silver,1423,0.62,29.91988756,0,1091.692308,CL222
POL00123,CUST00123,Travel,South,Rejected,Yes,Fire,Standard,39,21358,Customer_123,56,California,Gold,636,0.77,33.58176101,1,547.6410256,CL223
POL00124,CUST00124,Travel,West,Approved,No,Burglary,Standard,37,4267,Customer_124,34,New York,Gold,1543,0.5,2.765392093,0,115.3243243,CL224
POL00125,CUST00125,Home,South,Approved,No,Collision,Platinum,9,18209,Customer_125,46,New York,Gold,939,0.72,19.39190628,1,2023.222222,CL225
POL00126,CUST00126,Life,North,Rejected,No,Fire,Gold,46,25052,Customer_126,41,Florida,Silver,710,0.84,35.28450704,1,544.6086957,CL226
POL00127,CUST00127,Home,East,Approved,No,Fire,Premium,43,39513,Customer_127,28,Florida,Silver,1251,0.6,31.58513189,0,918.9069767,CL227
POL00128,CUST00128,Auto,South,Approved,No,Flood,Platinum,45,27092,Customer_128,49,California,Silver,2074,0.33,13.06268081,0,602.0444444,CL228
POL00129,CUST00129,Travel,West,Under Review,No,Flood,Standard,32,12338,Customer_129,45,Illinois,Silver,934,0.39,13.20985011,0,385.5625,CL229
POL00130,CUST00130,Home,West,Rejected,Yes,Burglary,Standard,11,1412,Customer_130,61,New York,Silver,1279,0.34,1.10398749,0,128.3636364,CL230
POL00131,CUST00131,Home,South,Rejected,No,Fire,Premium,13,8543,Customer_131,62,Florida,Gold,1730,0.37,4.938150289,0,657.1538462,CL231
POL00132,CUST00132,Auto,West,Under Review,No,Other,Gold,12,41355,Customer_132,25,New York,Silver,938,0.41,44.08848614,0,3446.25,CL232
POL00133,CUST00133,Health,Central,Approved,No,Fire,Premium,16,34496,Customer_133,49,California,Platinum,2497,0.59,13.81497797,0,2156,CL233
POL00134,CUST00134,Life,Central,Approved,No,Flood,Platinum,38,24548,Customer_134,60,California,Gold,2302,0.61,10.66377063,0,646,CL234
POL00135,CUST00135,Health,Central,Rejected,No,Other,Premium,37,28384,Customer_135,41,Illinois,Gold,1165,0.5,24.3639485,0,767.1351351,CL235
POL00136,CUST00136,Travel,North,Approved,No,Collision,Standard,52,45425,Customer_136,65,Illinois,Gold,1565,0.63,29.02555911,0,873.5576923,CL236
POL00137,CUST00137,Home,South,Under Review,No,Collision,Platinum,59,39756,Customer_137,48,California,Gold,910,0.26,43.68791209,0,673.8305085,CL237
POL00138,CUST00138,Auto,North,Under Review,No,Medical Emergency,Standard,27,19888,Customer_138,26,Florida,Platinum,2046,0.26,9.720430108,0,736.5925926,CL238
POL00139,CUST00139,Auto,West,Rejected,Yes,Flood,Gold,28,36735,Customer_139,64,New York,Silver,1305,0.32,28.14942529,0,1311.964286,CL239
POL00140,CUST00140,Life,North,Under Review,No,Medical Emergency,Standard,41,48295,Customer_140,39,Texas,Silver,1109,0.56,43.54824166,0,1177.926829,CL240
POL00141,CUST00141,Health,West,Under Review,No,Other,Standard,39,49816,Customer_141,56,Illinois,Gold,926,0.35,53.79697624,0,1277.333333,CL241
POL00142,CUST00142,Life,West,Rejected,No,Flood,Premium,48,18506,Customer_142,63,Texas,Silver,1798,0.4,10.29254727,0,385.5416667,CL242
POL00143,CUST00143,Home,East,Under Review,No,Burglary,Standard,44,21463,Customer_143,30,Florida,Silver,1971,0.48,10.88939625,0,487.7954545,CL243
POL00144,CUST00144,Life,Central,Under Review,No,Fire,Platinum,26,18955,Customer_144,25,Illinois,Silver,1401,0.77,13.5296217,1,729.0384615,CL244
POL00145,CUST00145,Auto,West,Under Review,No,Burglary,Platinum,31,38841,Customer_145,47,Texas,Silver,1441,0.21,26.95419847,0,1252.935484,CL245
POL00146,CUST00146,Auto,East,Approved,No,Other,Gold,39,6104,Customer_146,63,Florida,Gold,2407,0.65,2.535936851,0,156.5128205,CL246
POL00147,CUST00147,Travel,Central,Rejected,No,Flood,Platinum,5,35911,Customer_147,41,New York,Silver,1241,0.67,28.93714746,0,7182.2,CL247
POL00148,CUST00148,Travel,West,Rejected,No,Other,Premium,39,24190,Customer_148,58,Florida,Platinum,1892,0.76,12.78541226,1,620.2564103,CL248
POL00149,CUST00149,Home,West,Rejected,No,Fire,Gold,41,8357,Customer_149,65,Illinois,Gold,2461,0.85,3.395774076,1,203.8292683,CL249
POL00150,CUST00150,Health,North,Approved,No,Collision,Platinum,51,33479,Customer_150,53,California,Gold,1743,0.21,19.20768789,0,656.4509804,CL250
POL00151,CUST00151,Life,North,Approved,No,Collision,Premium,18,45811,Customer_151,33,New York,Gold,2100,0.31,21.8147619,0,2545.055556,CL251
POL00152,CUST00152,Home,Central,Rejected,No,Other,Platinum,7,37208,Customer_152,37,Texas,Platinum,2390,0.82,15.56820084,1,5315.428571,CL252
POL00153,CUST00153,Travel,West,Approved,No,Medical Emergency,Platinum,5,21150,Customer_153,30,Illinois,Silver,1755,0.52,12.05128205,0,4230,CL253
POL00154,CUST00154,Life,South,Rejected,No,Flood,Standard,9,6644,Customer_154,30,California,Platinum,827,0.6,8.033857316,0,738.2222222,CL254
POL00155,CUST00155,Travel,North,Approved,No,Flood,Platinum,30,44286,Customer_155,44,Florida,Gold,1966,0.66,22.525941,0,1476.2,CL255
POL00156,CUST00156,Life,Central,Under Review,No,Collision,Platinum,59,48320,Customer_156,27,California,Gold,551,0.68,87.69509982,0,818.9830508,CL256
POL00157,CUST00157,Health,West,Under Review,Yes,Burglary,Premium,18,3914,Customer_157,41,Illinois,Gold,2409,0.85,1.624740556,1,217.4444444,CL257
POL00158,CUST00158,Home,West,Rejected,No,Fire,Premium,43,22352,Customer_158,36,Illinois,Silver,2466,0.9,9.064071371,1,519.8139535,CL258
POL00159,CUST00159,Life,South,Approved,No,Burglary,Standard,31,47352,Customer_159,69,California,Gold,875,0.7,54.11657143,0,1527.483871,CL259
POL00160,CUST00160,Auto,Central,Approved,No,Burglary,Platinum,13,45912,Customer_160,25,Florida,Gold,762,0.4,60.2519685,0,3531.692308,CL260
POL00161,CUST00161,Auto,West,Under Review,Yes,Other,Standard,19,15397,Customer_161,41,California,Silver,766,0.82,20.10052219,1,810.3684211,CL261
POL00162,CUST00162,Life,North,Under Review,No,Collision,Platinum,19,42555,Customer_162,27,Illinois,Gold,858,0.23,49.5979021,0,2239.736842,CL262
POL00163,CUST00163,Life,South,Approved,No,Collision,Gold,30,47959,Customer_163,50,Illinois,Silver,1840,0.36,26.06467391,0,1598.633333,CL263
POL00164,CUST00164,Life,Central,Approved,No,Collision,Gold,46,1728,Customer_164,39,Texas,Silver,1847,0.83,0.935571197,1,37.56521739,CL264
POL00165,CUST00165,Auto,South,Approved,No,Other,Standard,17,1698,Customer_165,60,Texas,Silver,2444,0.38,0.694762684,0,99.88235294,CL265
POL00166,CUST00166,Auto,North,Approved,No,Medical Emergency,Standard,55,40954,Customer_166,56,New York,Silver,2431,0.35,16.8465652,0,744.6181818,CL266
POL00167,CUST00167,Life,Central,Approved,Yes,Burglary,Standard,36,48280,Customer_167,56,Illinois,Gold,2189,0.3,22.05573321,0,1341.111111,CL267
POL00168,CUST00168,Travel,South,Approved,Yes,Other,Premium,43,14923,Customer_168,28,Texas,Silver,2393,0.8,6.236105307,1,347.0465116,CL268
POL00169,CUST00169,Travel,East,Rejected,No,Flood,Premium,53,17779,Customer_169,42,California,Platinum,2401,0.55,7.40483132,0,335.4528302,CL269
POL00170,CUST00170,Health,North,Approved,No,Fire,Premium,56,8400,Customer_170,43,Florida,Gold,1151,0.67,7.298001738,0,150,CL270
POL00171,CUST00171,Home,North,Under Review,Yes,Medical Emergency,Standard,36,25466,Customer_171,67,California,Silver,2462,0.37,10.34362307,0,707.3888889,CL271
POL00172,CUST00172,Travel,North,Rejected,No,Flood,Platinum,8,37939,Customer_172,59,Florida,Gold,2086,0.73,18.18744008,1,4742.375,CL272
POL00173,CUST00173,Auto,East,Approved,No,Burglary,Gold,34,5360,Customer_173,64,Texas,Platinum,2152,0.73,2.49070632,1,157.6470588,CL273
POL00174,CUST00174,Travel,East,Under Review,No,Collision,Standard,41,36270,Customer_174,38,New York,Gold,1944,0.42,18.65740741,0,884.6341463,CL274
POL00175,CUST00175,Health,West,Rejected,No,Burglary,Premium,27,18101,Customer_175,57,California,Silver,545,0.49,33.21284404,0,670.4074074,CL275
POL00176,CUST00176,Health,South,Under Review,No,Other,Premium,43,33307,Customer_176,38,California,Platinum,2344,0.35,14.20947099,0,774.5813953,CL276
POL00177,CUST00177,Home,West,Approved,No,Fire,Standard,49,6486,Customer_177,58,California,Gold,1099,0.88,5.901728844,1,132.3673469,CL277
